mean,cv
9378.244918,0.640811738
10027.86117,0.545770992
11413.94537,0.535327662
12866.91879,0.539811109
13574.17252,0.522190225
14185.0657,0.503226101
15005.16746,0.504039733
62.06328537,1.261501079
67.35157564,1.205570327
71.87086496,1.211984708
73.87064157,1.205675909
76.12650106,1.226528506
78.45840656,1.160426553
79.58762571,1.21870745
91.03038334,1.163764686
88.04403386,1.226884565
112.6010407,1.29375674
159.1469869,1.575156084
236.9553177,2.175212948
372.9257174,2.447773064
949.8928975,1.995703684
1790.143303,1.704710598
3061.791369,1.272235855
5486.130867,0.892638574
7313.02135,0.72451458
9461.071116,0.625552472
10998.50004,0.550499032
11822.35222,0.535373607
12600.34751,0.51189874
13676.39174,0.534553075
14633.9513,0.534032228
14871.22288,0.49892975
77.59371661,1.066942926
85.89261933,0.994885372
87.22183437,1.074570187
90.49199242,1.053748847
93.61526523,1.033907634
96.43619065,1.077705602
94.72703327,1.001781745
109.4867033,1.112961364
118.9841189,1.094908795
141.6829515,1.168577819
188.0165346,1.464735449
268.4845717,2.028767215
272.597868,2.110955846
1595.217363,1.713804661
833.5458309,2.161104805
3570.259579,1.152780572
6090.823223,0.804805808
7390.868599,0.727984757
9566.410989,0.617425136
11381.79857,0.546044794
7603.313289,0.713172298
12999.21515,0.521242453
14390.54164,0.53081433
15147.51229,0.528597795
15513.55451,0.501871032
197.9384182,0.735644042
186.5987182,0.74893754
199.1546734,0.729495738
208.8020568,0.73513451
212.1914816,0.725048831
216.7198141,0.722330358
218.3338188,0.725204365
220.3169935,0.739945398
216.2319967,0.714486324
256.138676,0.753526166
293.0215968,0.897271622
355.8669455,1.137039651
452.7159516,1.683829616
1092.101845,1.763699479
2073.519347,1.48336334
2701.927207,1.222682534
5726.651618,0.839465583
7520.115514,0.689432279
9310.156251,0.591599329
11206.59614,0.53903701
9331.76961,0.632594359
13178.83672,0.506594502
14185.50894,0.512825711
15026.88508,0.509260436
15182.59838,0.491841016
674.0145048,0.40992259
648.6775409,0.419625527
650.4368131,0.412477352
671.6907877,0.412636638
674.8504449,0.419368321
690.2980982,0.410178941
689.2288991,0.406242797
657.8892536,0.418896597
693.7424889,0.405138592
723.6920678,0.411131632
756.3471212,0.432384742
798.0025948,0.502487436
825.4123946,0.618339176
1151.46159,1.089108461
1458.169403,1.315044759
3456.791058,1.120253535
4525.334814,0.857003631
7554.058557,0.690901898
8729.199175,0.632756675
10772.96813,0.490900981
13045.28389,0.503204336
14151.27489,0.501001351
15181.06429,0.484406141
15444.75106,0.470843445
14789.37037,0.451743058
1615.653808,0.296880636
1570.46978,0.293615061
1638.668694,0.301454493
1621.672019,0.305447562
1642.027424,0.297780186
1648.876017,0.30040615
1631.116148,0.289447629
1635.303682,0.303013109
1684.658752,0.313996206
1727.422913,0.3352267
1719.206474,0.345058474
1904.165053,0.447688103
1980.101839,0.568433389
3212.770951,0.903346134
2564.275702,0.842114396
6451.903898,0.748559374
8936.322747,0.640856878
9629.763942,0.586186578
12461.52541,0.497088444
14842.15343,0.495410134
14610.85113,0.450799695
16313.5048,0.457889051
16569.63747,0.446527523
17881.80878,0.445267555
17731.60201,0.431872186
2295.889777,0.344408922
2256.246673,0.335504002
2361.410849,0.339473877
2337.85771,0.355377951
2371.354723,0.351298923
2325.541647,0.341748571
2282.287871,0.323028975
2416.189338,0.356632864
2410.121232,0.3683916
2508.959678,0.374781178
2565.488471,0.404234086
2523.926004,0.397509486
2659.076298,0.491639522
4380.159088,0.791629498
3070.698941,0.591832484
7906.534442,0.689606939
10844.25503,0.578935294
8580.744883,0.650629264
13183.47064,0.493630023
15016.35486,0.44868606
15356.05682,0.482366935
18013.29104,0.45315267
19345.17773,0.458738899
19030.97706,0.445193534
19221.09365,0.434694802
2845.560041,0.378618543
2790.017855,0.389263573
2752.08858,0.378080623
2763.361991,0.394360308
2850.886101,0.392887042
2759.777716,0.396365358
2732.458825,0.386516418
2825.777851,0.393217893
2896.882144,0.375252742
2878.601763,0.403394152
3016.291467,0.453521307
3098.65155,0.46571395
3555.600923,0.630661818
4710.831008,0.785400932
5215.970688,0.830477679
8634.159886,0.680519159
11455.68359,0.589398223
12549.65547,0.545071397
14422.21601,0.500752054
16554.25917,0.479055879
16251.00674,0.489840661
18747.08388,0.451459037
19875.14526,0.457783607
20016.06028,0.450429129
20913.08463,0.444225543
