ahl,atc,mean sfgfp,cv sfgfp,mean mcherry,cv mcherry
0.013693684,0.118920712,396.4150775,0.784789723,709.8877839,0.947363579
0.016150802,0.118920712,350.5209805,0.841418967,650.8077402,0.940505308
0.019048813,0.118920712,371.2941854,0.820989228,675.6294278,0.848653696
0.022466826,0.118920712,380.0384721,0.81420157,686.6856496,0.874499927
0.026498148,0.118920712,378.5413517,0.821573865,634.0564042,0.877577713
0.031252829,0.118920712,347.3271958,0.856852742,630.3220974,0.866276841
0.036860663,0.118920712,378.9965911,0.880172826,615.0562042,0.936668733
0.043474736,0.118920712,405.409589,1.429708993,647.4134043,0.917290567
0.051275601,0.118920712,587.691872,2.295928175,520.4126616,1.075991489
0.06047621,0.118920712,1085.078581,2.190584502,409.9032866,1.211162863
0.071327726,0.118920712,1905.718329,1.759682704,357.2510471,1.381979731
0.084126377,0.118920712,3134.956711,1.317854257,249.1282952,1.818484168
0.099221547,0.118920712,4111.166081,0.996616759,177.331235,2.349948408
0.117025311,0.118920712,5127.797546,0.943765986,115.8064241,2.762023231
0.138023683,0.118920712,5680.16797,0.802108541,66.76829165,3.061941566
0.162789886,0.118920712,6310.072574,0.74178003,74.2450719,3.981072219
0.192,0.118920712,6307.19685,0.786388708,90.07385395,3.319263992
0.226451414,0.118920712,6264.674236,0.733863765,84.15685269,3.477649417
0.267084599,0.118920712,6422.83077,0.688836762,58.22476591,3.593149071
0.315008777,0.118920712,7045.355503,0.714444037,71.75825842,3.779705977
0,0.158740105,432.7261341,0.793240148,595.7811123,0.947653837
0.007076607,0.158740105,423.470131,0.779562575,542.9470296,1.027326347
0.008346394,0.158740105,426.5545353,0.780157368,570.5055871,0.996738415
0.009844024,0.158740105,430.3864345,0.780155507,539.2656888,0.967246466
0.011610381,0.158740105,444.963494,0.778947417,562.6223247,0.982684837
0.013693684,0.158740105,440.3036835,0.810479796,577.2749262,1.021649181
0.016150802,0.158740105,413.9788824,0.811337579,591.5713855,0.985755299
0.019048813,0.158740105,411.9063859,0.768738111,561.6964819,0.989491181
