ahl,atc,mean,cv,variant,strain,date,file
0,0.890898718,30.91572128,1.759238471,331_p15a,mg1655,171012,53
0,1.189207115,28.5375519,1.721281148,331_p15a,mg1655,171012,54
0,1.587401052,34.43432072,1.585716773,331_p15a,mg1655,171012,55
0,2.118926189,35.65107176,1.589060607,331_p15a,mg1655,171012,56
0,2.828427125,48.78195222,1.379472062,331_p15a,mg1655,171012,57
0,3.775497251,270.5748098,0.798982446,331_p15a,mg1655,171012,58
0,5.0396842,409.3404762,0.648355504,331_p15a,mg1655,171012,59
0,6.727171322,654.9995494,0.500417696,331_p15a,mg1655,171012,60
0,8.979696386,1131.165126,0.372078224,331_p15a,mg1655,171012,61
0,11.98645662,1579.52096,0.31425246,331_p15a,mg1655,171012,62
0,16,2173.465741,0.271094155,331_p15a,mg1655,171012,63
0,21.35743767,3138.894245,0.263409401,331_p15a,mg1655,171012,64
0,28.50875898,3313.962877,0.265188077,331_p15a,mg1655,171012,65
0,38.05462768,4071.205512,0.272178338,331_p15a,mg1655,171012,66
0,50.79683366,4268.866915,0.278547469,331_p15a,mg1655,171012,67
0,67.80563804,4449.206377,0.288006351,331_p15a,mg1655,171012,68
0,90.50966799,4579.161337,0.297254748,331_p15a,mg1655,171012,69
0,120.815912,4936.078646,0.309746353,331_p15a,mg1655,171012,70
0,161.2698944,5045.979251,0.307878105,331_p15a,mg1655,171012,71
0,215.2694823,5216.513754,0.3208621,331_p15a,mg1655,171012,72
0,287.3502844,5163.328214,0.304731546,331_p15a,mg1655,171012,73
0,383.5666117,5554.777293,0.317609469,331_p15a,mg1655,171012,74
0,512,5876.154593,0.320574508,331_p15a,mg1655,171012,75
0,0,33.39036395,1.684100455,331_cole1,mg1655,171010,76
0,0.571705101,34.9087954,1.542324953,331_cole1,mg1655,171010,77
0,0.763134753,32.250199,1.528489466,331_cole1,mg1655,171010,78
0,1.018662683,30.39241812,1.684410972,331_cole1,mg1655,171010,79
0,1.359751547,35.87069156,1.523035654,331_cole1,mg1655,171010,80
0,1.815050557,34.75824831,1.528043695,331_cole1,mg1655,171010,81
0,2.422801821,37.75025976,1.530203255,331_cole1,mg1655,171010,82
