"","atc","ahl","mean","sd","conv_mean","conv_mean_comp","conv_sd","conv_sd_comp","c_B"
"1",0,0,205.828188674866,106.318637185211,411.778052240386,205.949863565519,150.735732666421,44.4170954812103,0.711636641908191
"2",0,0.000553655,216.495327473299,110.529715142225,422.329677024883,216.501488350016,154.33372041555,48.0150832303391,0.726139094862596
"3",0,0.000613067,221.37341091763,117.02834135954,427.285542689432,221.457354014565,158.502250820766,52.1836136355554,0.738470804890967
"4",0,0.000678856,215.102087587519,111.678439135083,420.279400727418,214.451212052552,154.202391474604,47.8837542893937,0.731225951482544
"5",0,0.000751703,219.572038434075,114.5244794731,424.899656636061,219.071467961195,156.784103110438,50.4654659252274,0.73608058941319
"6",0,0.000832368,227.271914695381,123.739028787132,432.815455013648,226.987266338781,162.223642190884,55.905005005673,0.744379183549392
"7",0,0.00092169,225.315817012586,119.035465275259,431.762358542424,225.934169867558,159.896216681778,53.5775794965677,0.740467200265325
"8",0,0.001020596,238.073950476409,140.072093148404,444.030179019351,238.201990344484,176.541885653337,70.2232484681261,0.763493483492856
"9",0,0.001130116,258.933859093512,170.382584979691,463.759626096025,257.931437421158,199.746160238495,93.4275230532847,0.781636437012532
"10",0,0.001251388,271.700322139051,200.106543913719,478.984837151671,273.156648476804,225.792890161954,119.474252976743,0.794944791324171
"11",0,0.001385674,304.017050368025,323.968315776291,510.759215338157,304.931026663291,341.698899800897,235.380262615687,0.807382340646619
"12",0,0.001534371,400.776582807984,663.949585378997,612.435707928112,406.607519253246,687.320999250189,581.002362064978,0.844307552620623
"13",0,0.001699024,497.137595597337,902.699055684109,699.749389797808,493.921201122941,877.765265033578,771.446627848368,0.85495939285224
"14",0,0.001881345,1904.22502255232,3051.71440329227,2092.31638417966,1886.4881955048,3002.46671225411,2896.1480750689,0.938013467286071
"15",0,0.002083232,3551.3160374761,4150.110041455,3732.09180716561,3526.26361849074,4139.99422804721,4033.675590862,0.970558121662041
"16",0,0.002306783,3821.55318474475,4155.54669437168,4046.40467947634,3840.57649080147,4168.81918105035,4062.50054386514,0.975948636284135
"17",0,0.002554323,6671.03995252321,5176.48780063328,6879.53550786437,6673.7073191895,5144.14589706445,5037.82725987924,0.993586471124916
"18",0,0.002828427,7862.69172875023,5570.11896340939,8051.60923013803,7845.78104146317,5595.26451892127,5488.94588173606,0.996273479506697
"19",0,0.003131945,9850.45626385615,5940.59481798766,10062.9642480717,9857.13605939681,5953.52014983463,5847.20151264942,0.998341943407408
"20",0,0.003468033,10887.6770697285,5831.16333627079,11067.6644889082,10861.8363002333,5843.85040289768,5737.53176571247,0.998495500164853
"21",0,0.003840187,12653.3167586819,7001.90382356208,12803.2812510465,12597.4530623717,6949.26116559775,6842.94252841254,0.997949807293411
"22",0,0.004252276,13342.9080211262,7113.72150909218,13562.8063044199,13356.978115745,7107.69227703821,7001.373639853,0.997784148692869
"23",0,0.004708587,13818.6846845936,7028.17237936829,14045.961415727,13840.1332270521,7048.8267773336,6942.50814014838,0.997858636093854
"24",0,0.01,14859.2194216558,7722.57518316807,15047.4784982147,14841.6503095399,7721.13273931655,7614.81410213133,0.998516280301867
"25",0,0.05,14944.9690313239,7566.29806722523,15112.9929894001,14907.1648007252,7513.45921140118,7407.14057421597,0.998674457482403
"26",0.066741993,0,205.409256590074,104.784901893416,410.796641943528,204.968453268661,148.650174330438,42.3315371452274,0.710739145767087
"27",0.066741993,0.000553655,207.918780193803,110.089633751591,421.984810960921,216.156622286055,153.059534183059,46.7408969978489,0.697296685422621
"28",0.066741993,0.000613067,206.125021344203,104.577797215734,426.019920054811,220.191731379945,156.799344410262,50.4807072250511,0.691290905652318
"29",0.066741993,0.000678856,208.738088193111,107.876991918167,419.190545293091,213.362356618225,152.542423746831,46.2237865616206,0.71029665181383
"30",0.066741993,0.000751703,214.615872414854,111.142735789932,424.149491683858,218.321303008991,154.894522555993,48.5758853707829,0.721209520496833
"31",0.066741993,0.000832368,212.435181592012,109.745814112585,432.225442290373,226.397253615506,162.240207410854,55.9215702256429,0.704048928667937
"32",0.066741993,0.00092169,216.176115872475,113.728142969145,429.937957017162,224.109768342296,159.027525817713,52.708888632502,0.71775197245215
"33",0.066741993,0.001020596,222.104868211463,135.33430346571,442.83970117306,237.011512498194,174.38337925703,68.0647420718196,0.718231085897383
"34",0.066741993,0.001130116,229.718198673673,141.490511325024,465.928138975199,260.099950300333,202.975910060951,96.6572728757406,0.715830970220401
"35",0.066741993,0.001251388,245.272245011501,159.398119743148,475.447312743389,269.619124068522,226.820471406612,120.501834221401,0.752805073545861
"36",0.066741993,0.001385674,284.511198280213,306.238533109718,508.185745789002,302.357557114136,341.942034706346,235.623397521135,0.775329567885389
"37",0.066741993,0.001534371,364.491092066174,576.396136281197,602.251637688443,396.423449013576,657.680297033477,551.361659848267,0.805429816991877
"38",0.066741993,0.001699024,429.002026605743,795.159198510028,703.521178825078,497.692990150212,918.29902120907,811.98038402386,0.819081760430144
"39",0.066741993,0.001881345,1752.71194655899,2778.96005708564,2128.94559343267,1923.11740475781,3101.14235044432,2994.8237132591,0.92468577804646
"40",0.066741993,0.002083232,1399.62746238702,2272.10958221904,3789.37059504427,3583.5424063694,4193.35871037149,4087.04007318628,0.849409552144968
"41",0.066741993,0.002306783,4375.96226089368,4351.92747061485,4032.33211424723,3826.50392557237,4164.01935521065,4057.70071802544,0.975379647598486
"42",0.066741993,0.002554323,5802.84556656183,4509.53259544132,6868.21234754307,6662.38415886821,5123.13564541854,5016.81700823333,0.986898018488347
"43",0.066741993,0.002828427,7488.16975152046,4786.77441700213,8113.22383251453,7907.39564383966,5616.60413583747,5510.28549865226,0.993709636191229
"44",0.066741993,0.003131945,9771.3983692842,5835.96932565916,10039.6125450746,9833.78435639976,5909.87753426314,5803.55889707793,0.998034109087428
"45",0.066741993,0.003468033,10225.2206095001,5312.99008724048,11064.881355375,10859.0531667001,5836.10581490766,5729.78717772245,0.994645483676577
"46",0.066741993,0.003840187,11243.4869725985,5914.77954951092,12885.9977849876,12680.1695963128,7044.93483576675,6938.61619858154,0.988483226359274
"47",0.066741993,0.004252276,12290.1955527086,6457.04033248039,13517.9655634118,13312.1373747369,7035.51608594084,6929.19744875563,0.992918627297477
"48",0.066741993,0.004708587,13107.2214293234,6690.66834908356,14017.8712536844,13812.0430650095,7003.55251599798,6897.23387881277,0.99330293064595
"49",0.066741993,0.01,14198.4182280115,7432.95992453005,15067.3132526069,14861.485063932,7724.4808203314,7618.16218314618,0.994803858089566
"50",0.066741993,0.05,14539.9796757186,7485.44251202141,15149.3137038423,14943.4855151674,7612.14449128199,7505.82585409678,0.996512875946584
"51",0.089089872,0,210.888813283806,104.664925538347,416.829803037567,211.001614362701,149.017441677783,42.6988044925724,0.712095329772198
"52",0.089089872,0.000553655,217.698555733415,112.133574657675,427.517380582907,221.68919190804,152.175290948355,45.8566537631446,0.716593984670994
"53",0.089089872,0.000613067,216.79316364224,109.66456984269,431.74358736048,225.915398685614,156.486765828878,50.1681286436674,0.708108612212011
"54",0.089089872,0.000678856,215.616742867086,113.96654832086,426.28412878071,220.455940105844,153.463386939754,47.1447497545439,0.719195679156957
"55",0.089089872,0.000751703,219.934140562729,116.662380395418,430.987583853544,225.159395178678,155.433045133501,49.1144079482903,0.724460370526931
"56",0.089089872,0.000832368,222.068223054663,115.167471198885,437.663185927034,231.834997252168,161.769316342427,55.4506791572161,0.720773603987877
"57",0.089089872,0.00092169,227.083235866697,123.067676605312,436.45000518748,230.621816512613,159.21488911735,52.8962519321395,0.733864196460014
"58",0.089089872,0.001020596,237.245382675781,136.502412166606,449.127215390265,243.299026715399,174.565621514593,68.2469843293828,0.750431042956033
"59",0.089089872,0.001130116,239.921125580843,146.589539920711,469.538012156197,263.709823481331,199.385328994637,93.0666918094267,0.733236039390786
"60",0.089089872,0.001251388,262.396960738822,183.526431587787,483.487711019774,277.659522344908,227.841646082014,121.523008896803,0.772682751617966
"61",0.089089872,0.001385674,317.628734213534,342.328748127191,516.553117691483,310.724929016617,343.339870370362,237.021233185151,0.809643849204025
"62",0.089089872,0.001534371,393.369093262347,551.316866852111,612.977288952299,407.149100277433,679.477059610364,573.158422425154,0.82686280898517
"63",0.089089872,0.001699024,519.141781550855,962.79909674225,715.651563568241,509.823374893375,935.617587154863,829.298949969652,0.844245488572015
"64",0.089089872,0.001881345,1631.41319427474,2617.97299633176,2099.9385448902,1894.11035621533,3030.98891162399,2924.67027443878,0.921913560012611
"65",0.089089872,0.002083232,2430.64307468224,3369.4270793212,3742.46584864949,3536.63765997463,4139.14624990843,4032.82761272322,0.937400949394167
"66",0.089089872,0.002306783,4178.96268168453,4351.04664802242,4047.16403601547,3841.3358473406,4206.65382480003,4100.33518761482,0.978149792032973
"67",0.089089872,0.002554323,6249.1218034408,5148.95648485821,6861.60310850368,6655.77491982881,5208.04035189443,5101.72171470922,0.992371144700715
"68",0.089089872,0.002828427,7993.34833374251,5585.84485633855,8063.03859697752,7857.21040830265,5602.56780224916,5496.24916506395,0.995860178094964
"69",0.089089872,0.003131945,9419.55160833582,5897.33614676405,10051.7897115185,9845.96152284365,5912.90772158822,5806.58908440301,0.995522134342154
"70",0.089089872,0.003468033,11439.784064029,6376.22943666597,11048.7621841411,10842.9339954662,5740.64812905175,5634.32949186654,0.996781547641312
"71",0.089089872,0.003840187,12848.9993699457,7241.09335268006,12901.9099355016,12696.0817468267,7080.39494878178,6974.07631159657,0.998507166737088
"72",0.089089872,0.004252276,13406.1399374069,7174.12843010715,13512.9491479553,13307.1209592804,7120.19983743127,7013.88120024606,0.997771122315052
"73",0.089089872,0.004708587,13926.5312827994,7349.21509449583,14033.4050247101,13827.5768360352,7037.46958411052,6931.15094692531,0.995971850414149
"74",0.089089872,0.01,14309.2249237902,7448.5421344054,15023.1269350598,14817.2987463849,7666.24638280737,7559.92774562216,0.996212582855122
"75",0.089089872,0.05,15248.6258473066,8104.49841340093,15164.5062001242,14958.6780114494,7682.57069950461,7576.2520623194,0.997786526440673
"76",0.118920712,0,204.923193340492,102.992402196151,410.286880990248,204.458692315382,148.367275653017,42.0486384678062,0.707127253935847
"77",0.118920712,0.000553655,214.594499452574,110.237721199375,421.004282912829,215.176094237962,151.144034308273,44.8253971230624,0.719836974159941
"78",0.118920712,0.000613067,220.96193426087,112.08362066169,426.820575892529,220.992387217662,156.788514322266,50.4698771370555,0.734694832041901
"79",0.118920712,0.000678856,218.404460570345,111.205434251532,420.23337536646,214.405186691593,152.131930078144,45.8132928929332,0.73653658185108
"80",0.118920712,0.000751703,222.779606363956,116.963735903417,424.065166569534,218.236977894668,154.045710820621,47.7270736354099,0.743910608439454
