ahl,atc,mean,median,cv,variant,strain,date,file,note
0.001791121,0.377549725,155.0631659,245.7644299,1.670467831,331/347d,mg1655,170725,61,
0.00194146,0.377549725,205.0080847,257.6417739,1.940551428,331/347d,mg1655,170725,62,
0.002104417,0.377549725,418.4482031,294.0414745,2.423302005,331/347d,mg1655,170725,63,
0.002281053,0.377549725,1470.450879,543.0913607,1.732707946,331/347d,mg1655,170725,64,
0.002472514,0.377549725,1658.260996,596.8530291,1.682612823,331/347d,mg1655,170725,65,
0.002680046,0.377549725,3940.901813,2942.21624,1.087570898,331/347d,mg1655,170725,66,
0.002904998,0.377549725,5947.033342,5282.512559,0.795492582,331/347d,mg1655,170725,67,
0.00314883,0.377549725,7433.473633,6625.632716,0.689199206,331/347d,mg1655,170725,68,
0.00341313,0.377549725,9249.601452,8154.836823,0.613126217,331/347d,mg1655,170725,69,
0.003699613,0.377549725,11418.75068,9942.686413,0.569087865,331/347d,mg1655,170725,70,
0.004010142,0.377549725,11377.69375,10036.9831,0.55983643,331/347d,mg1655,170725,71,
0.004346736,0.377549725,12796.68988,11347.39188,0.526035327,331/347d,mg1655,170725,72,
0.004711582,0.377549725,13461.56458,11784.03047,0.534911915,331/347d,mg1655,170725,73,
0.005107051,0.377549725,14169.98145,12470.69224,0.511541133,331/347d,mg1655,170725,74,
0.005535715,0.377549725,14464.31961,12950.55453,0.491998103,331/347d,mg1655,170725,75,
0,0.897969639,103.5141091,232.2321387,0.925584663,331/347d,mg1655,170725,76,
8.67E-04,0.897969639,109.9181821,236.6580182,0.968772144,331/347d,mg1655,170725,77,
9.40E-04,0.897969639,107.7058586,234.4346342,0.940338629,331/347d,mg1655,170725,78,
1.02E-03,0.897969639,113.2932588,241.1682461,0.930991069,331/347d,mg1655,170725,79,
1.10E-03,0.897969639,110.334192,238.9024888,0.941466725,331/347d,mg1655,170725,80,
0.001197037,0.897969639,116.412445,243.4554919,0.950878664,331/347d,mg1655,170725,81,
0.001297511,0.897969639,120.3947001,245.7644299,0.938994863,331/347d,mg1655,170725,82,
0.001406418,0.897969639,125.1408101,248.095266,0.979192651,331/347d,mg1655,170725,83,
0.001524467,0.897969639,133.1061234,252.8234649,0.992334942,331/347d,mg1655,170725,84,
0.001652424,0.897969639,152.8844938,265.0419591,1.165862197,331/347d,mg1655,170725,85,
0.001791121,0.897969639,177.9681499,277.8509507,1.174350767,331/347d,mg1655,170725,86,
0.00194146,0.897969639,275.7823964,296.8301713,2.13474793,331/347d,mg1655,170725,87,
0.002104417,0.897969639,408.5576982,329.3077879,2.282673786,331/347d,mg1655,170725,88,
0.002281053,0.897969639,1423.456377,532.9346927,1.853365316,331/347d,mg1655,170725,89,
0.002472514,0.897969639,2388.461327,1134.044397,1.412034039,331/347d,mg1655,170725,90,
0.002680046,0.897969639,3807.712603,2833.197077,1.082426027,331/347d,mg1655,170725,91,
0.002904998,0.897969639,6261.873374,5537.806699,0.775108748,331/347d,mg1655,170725,92,
0.00314883,0.897969639,7803.190508,6945.837388,0.687089129,331/347d,mg1655,170725,93,
0.00341313,0.897969639,9398.503395,8389.06632,0.590109805,331/347d,mg1655,170725,94,
0.003699613,0.897969639,11175.07645,9942.686413,0.554553802,331/347d,mg1655,170725,95,
0.004010142,0.897969639,12039.68122,10621.84349,0.517840017,331/347d,mg1655,170725,96,
0.004346736,0.897969639,12759.74866,11240.784,0.513162926,331/347d,mg1655,170725,97,
0.004711582,0.897969639,13507.11429,11895.79051,0.51509444,331/347d,mg1655,170725,98,
0.005107051,0.897969639,14353.21131,12708.35866,0.512019221,331/347d,mg1655,170725,99,
0.005535715,0.897969639,14657.92667,12950.55453,0.488815898,331/347d,mg1655,170725,100,
0,2.135743767,319.8050631,437.1047497,0.607348531,331/347d,mg1655,170725,101,
